company_name,industry,employee_count,annual_revenue_millions_usd,description,is_good_lead
"Stone, Chavez and Espinoza LLC",Renewable Energy,595,170,A Renewable Energy company focused on maximize cross-platform initiatives,1
Adams LLC Solutions,Fintech,761,26,A Fintech company focused on cultivate granular channels,1
Jensen-Hurst LLC,Events Services,641,100,A Events Services company focused on drive killer eyeballs,0
"Hutchinson, Andrade and Morales Group",Hospitality,5,1,A Hospitality company focused on reinvent 24/365 content,0
"Peters, Wallace and Martin Inc.",PropTech,5,3,A PropTech company focused on extend value-added networks,0
Hawkins-Carroll Group,HealthTech,7,3,A HealthTech company focused on repurpose one-to-one supply-chains,0
"Reynolds, Johnson and Douglas Solutions",Hospitality,8,2,A Hospitality company focused on e-enable killer e-commerce,0
"Fuller, Jenkins and Valdez Group",Wellness and Fitness,223,67,A Wellness and Fitness company focused on embrace open-source systems,1
Rios LLC LLC,IoT,38,146,A IoT company focused on repurpose leading-edge bandwidth,1
"Henderson, Wagner and Kelly LLC",Food & Beverage,21,173,A Food & Beverage company focused on disintermediate best-of-breed paradigms,1
Smith-Johnson Solutions,Cloud Computing,34,13,A Cloud Computing company focused on cultivate frictionless functionalities,1
"Davila, Howard and Gamble LLC",Automotive,721,70,A Automotive company focused on deploy global experiences,1
Cruz Ltd Inc.,Retail,521,99,A Retail company focused on incentivize next-generation experiences,1
Young PLC LLC,Wellness and Fitness,8,2,A Wellness and Fitness company focused on monetize bleeding-edge supply-chains,0
"Shaffer, Miller and Bradley LLC",Cloud Computing,129,88,A Cloud Computing company focused on visualize dot-com convergence,1
"Friedman, Glover and Hill LLC",Mining,458,91,A Mining company focused on re-intermediate killer web services,1
Oconnor Group Solutions,Food & Beverage,719,138,A Food & Beverage company focused on matrix open-source e-services,1
"Wheeler, Bullock and Padilla Solutions",Cybersecurity,35,176,A Cybersecurity company focused on visualize visionary e-services,1
"Smith, Turner and Powell Inc.",PropTech,920,103,A PropTech company focused on empower killer platforms,1
Wells Inc Inc.,Medical Devices,866,169,A Medical Devices company focused on streamline out-of-the-box info-mediaries,1
"Anderson, Taylor and Patterson LLC",Construction,313,146,A Construction company focused on morph efficient portals,1
Ross PLC Inc.,Cybersecurity,6,3,A Cybersecurity company focused on productize B2B communities,0
Anderson-Nelson LLC,Food & Beverage,5,1,A Food & Beverage company focused on repurpose cutting-edge info-mediaries,0
"Smith, Hamilton and Zamora LLC",HR Tech,5,1,A HR Tech company focused on e-enable dynamic markets,0
Holloway Inc Solutions,PropTech,6,3,A PropTech company focused on evolve front-end users,0
Raymond PLC Group,Telecommunications,8,3,A Telecommunications company focused on revolutionize viral partnerships,0
"Joseph, Martinez and Jenkins LLC",Cloud Computing,846,155,A Cloud Computing company focused on iterate synergistic action-items,1
Campbell-Smith LLC,Construction,5,2,A Construction company focused on revolutionize ubiquitous networks,0
"Wolf, Wiggins and Cunningham Solutions",Mining,6,3,A Mining company focused on transform wireless architectures,0
"Warren, Davis and Ellis Group",Legal Services,417,121,A Legal Services company focused on transform cross-media e-business,1
Butler LLC Solutions,Staffing & Recruiting,622,135,A Staffing & Recruiting company focused on drive next-generation architectures,1
Scott LLC LLC,Gaming,5,3,A Gaming company focused on transform extensible networks,0
Manning and Sons LLC,Hospitality,5,1,A Hospitality company focused on incentivize turn-key web services,0
"Ayala, Reynolds and Morales Group",Publishing,230,5,A Publishing company focused on utilize mission-critical markets,0
Contreras-Johnson Solutions,Consumer Electronics,898,148,A Consumer Electronics company focused on morph plug-and-play synergies,0
"Gonzalez, Vaughn and Peterson Group",Utilities,944,14,A Utilities company focused on enhance transparent e-markets,1
"Snyder, Smith and Brown Solutions",Events Services,783,163,A Events Services company focused on innovate distributed eyeballs,0
Baldwin-Wells Solutions,Investment Management,7,2,A Investment Management company focused on strategize turn-key metrics,0
Fields-Moore Inc.,SaaS,647,153,A SaaS company focused on re-intermediate viral architectures,1
Michael Group LLC,Banking,8,2,A Banking company focused on facilitate back-end users,0
Garcia-Adams LLC,Automotive,59,122,A Automotive company focused on enhance one-to-one applications,1
Irwin-Logan LLC,Aerospace & Defense,132,121,A Aerospace & Defense company focused on disintermediate next-generation paradigms,1
Santana PLC Solutions,Investment Management,882,146,A Investment Management company focused on transform efficient mindshare,1
Estrada PLC Group,Gaming,68,187,A Gaming company focused on integrate seamless functionalities,1
Yates and Sons LLC,Legal Services,692,179,A Legal Services company focused on re-contextualize revolutionary e-services,1
Holland and Sons Solutions,Biotechnology,7,1,A Biotechnology company focused on grow one-to-one convergence,0
Dixon LLC Solutions,SaaS,6,2,A SaaS company focused on innovate robust metrics,0
"Williams, Hodges and Miller Inc.",Retail,785,41,A Retail company focused on envisioneer leading-edge functionalities,1
Thompson-Reyes Group,Fashion & Apparel,501,199,A Fashion & Apparel company focused on embrace viral supply-chains,0
Rodriguez-Jackson Inc.,Manufacturing,5,2,A Manufacturing company focused on expedite revolutionary portals,0
Li-Ferguson Group,Retail,840,102,A Retail company focused on integrate compelling models,1
"Garcia, Carson and Bray Inc.",Biotechnology,6,2,A Biotechnology company focused on unleash user-centric vortals,0
Moore-Abbott Inc.,Investment Management,463,163,A Investment Management company focused on evolve bricks-and-clicks e-commerce,1
Wagner-Thompson Inc.,Pharmaceuticals,676,100,A Pharmaceuticals company focused on visualize turn-key users,1
"Compton, Fernandez and Garcia Solutions",Travel & Tourism,5,1,A Travel & Tourism company focused on synergize synergistic solutions,0
Poole-Wolfe LLC,Consulting,997,198,A Consulting company focused on extend proactive action-items,1
Malone-Fuller Solutions,Fintech,643,34,A Fintech company focused on incubate seamless users,1
"Greer, Boyd and Wolf LLC",Aerospace & Defense,396,131,A Aerospace & Defense company focused on benchmark 24/7 e-tailers,1
"Gonzalez, Rivera and Pierce LLC",Media & Entertainment,839,82,A Media & Entertainment company focused on drive user-centric info-mediaries,0
"Meyer, Allen and Jimenez Group",Biotechnology,703,101,A Biotechnology company focused on leverage user-centric partnerships,1
Ray PLC Group,Software,15,114,A Software company focused on generate scalable e-tailers,1
Valenzuela LLC LLC,Logistics & Supply Chain,231,178,A Logistics & Supply Chain company focused on enable out-of-the-box technologies,1
Taylor-Martin Inc.,Mining,8,1,A Mining company focused on incentivize end-to-end portals,0
"Perez, Brown and Crawford Solutions",Medical Devices,837,103,A Medical Devices company focused on streamline back-end experiences,1
Bryant-Moses Solutions,Retail,429,122,A Retail company focused on integrate transparent vortals,1
Morse Ltd Group,IoT,70,117,A IoT company focused on synergize open-source web services,1
"Davis, Schneider and Ward Solutions",Publishing,5,2,A Publishing company focused on scale cutting-edge interfaces,0
"Williams, Thomas and Garcia Inc.",E-commerce,7,1,A E-commerce company focused on cultivate visionary paradigms,0
Moore-Hicks Solutions,Wellness and Fitness,346,64,A Wellness and Fitness company focused on e-enable ubiquitous web-readiness,1
"Vasquez, Evans and Anderson Solutions",HR Tech,7,3,A HR Tech company focused on drive robust vortals,0
Miller-Coleman Group,SaaS,324,176,A SaaS company focused on facilitate B2B initiatives,1
Gallagher LLC Inc.,SaaS,6,1,A SaaS company focused on leverage e-business channels,0
"Miller, Mcmahon and Richardson Group",Construction,390,77,A Construction company focused on integrate out-of-the-box e-tailers,1
Goodwin Inc LLC,Gaming,994,100,A Gaming company focused on empower value-added experiences,1
Drake Group LLC,Renewable Energy,565,35,A Renewable Energy company focused on generate customized supply-chains,1
White LLC Group,Venture Capital,773,13,A Venture Capital company focused on whiteboard synergistic systems,1
Cooper-Lee Inc.,HealthTech,647,139,A HealthTech company focused on drive sticky deliverables,1
Johnson-House LLC,Biotechnology,8,3,A Biotechnology company focused on disintermediate compelling methodologies,0
Mullins LLC Group,Gaming,197,38,A Gaming company focused on utilize compelling action-items,1
White Ltd Group,Retail,7,1,A Retail company focused on enable real-time web-readiness,0
"Franco, Powell and Martin Group",Biotechnology,505,126,A Biotechnology company focused on leverage cutting-edge communities,1
"Charles, Pope and Lopez LLC",Cybersecurity,827,25,A Cybersecurity company focused on cultivate virtual relationships,1
Spence LLC LLC,Travel & Tourism,257,74,A Travel & Tourism company focused on harness distributed bandwidth,0
Wolf-Reed LLC,Agriculture,592,146,A Agriculture company focused on visualize bleeding-edge web-readiness,1
Hall LLC Inc.,Food & Beverage,971,150,A Food & Beverage company focused on productize transparent action-items,1
Phillips-Hobbs Solutions,Retail,5,2,A Retail company focused on deploy robust experiences,0
Walker-Krause Group,Food & Beverage,7,3,A Food & Beverage company focused on mesh clicks-and-mortar interfaces,0
"Lambert, Garcia and Reynolds Group",Investment Management,7,1,A Investment Management company focused on morph interactive info-mediaries,0
Grant-Burgess Inc.,Marketing,993,42,A Marketing company focused on e-enable strategic web services,1
"Brown, Parker and Rodriguez LLC",Pharmaceuticals,189,143,A Pharmaceuticals company focused on utilize back-end interfaces,1
Cook-Robertson LLC,Agriculture,5,1,A Agriculture company focused on visualize dynamic experiences,0
"Santos, Cox and Hernandez Group",HealthTech,678,16,A HealthTech company focused on grow compelling vortals,1
Allen-Smith Solutions,Healthcare,6,1,A Healthcare company focused on incentivize open-source markets,0
"Brown, Garrett and Robles Solutions",Manufacturing,827,195,A Manufacturing company focused on enable visionary initiatives,1
Zavala PLC Solutions,Legal Services,155,132,A Legal Services company focused on mesh collaborative metrics,1
"Jones, Johnson and Wright Inc.",Marketing,853,119,A Marketing company focused on envisioneer viral architectures,1
"Mayer, Black and Anderson Inc.",AI,769,197,A AI company focused on brand bleeding-edge convergence,1
Moore-Campbell LLC,AI,74,7,A AI company focused on expedite rich eyeballs,1
Simmons-Murray Group,Fashion & Apparel,33,50,A Fashion & Apparel company focused on harness extensible schemas,0
Carlson and Sons Group,Banking,618,129,A Banking company focused on envisioneer sticky users,1
Haley Ltd LLC,Marketing,912,19,A Marketing company focused on re-intermediate one-to-one initiatives,1
Buck-Ward Group,AI,818,80,A AI company focused on transition next-generation networks,1
Wolf-Russell Inc.,SaaS,696,28,A SaaS company focused on grow web-enabled partnerships,1
Silva Inc Solutions,Travel & Tourism,5,1,A Travel & Tourism company focused on unleash holistic users,0
Sanchez and Sons Group,Publishing,624,27,A Publishing company focused on exploit 24/365 initiatives,0
Galvan LLC Inc.,Telecommunications,166,178,A Telecommunications company focused on synthesize 24/7 interfaces,0
"Nelson, Yu and Hawkins Inc.",Investment Management,6,2,A Investment Management company focused on matrix 24/7 infrastructures,0
Johnston-Cooper Group,Gaming,644,20,A Gaming company focused on deliver innovative methodologies,1
Jones-Medina Group,Telecommunications,791,53,A Telecommunications company focused on reinvent viral architectures,0
Stewart-Patterson Solutions,Biotechnology,535,52,A Biotechnology company focused on re-intermediate dot-com interfaces,1
Gomez Group Inc.,AI,359,115,A AI company focused on aggregate innovative action-items,1
Weiss-Wong LLC,Gaming,7,2,A Gaming company focused on repurpose user-centric vortals,0
Davis-Harrington LLC,Venture Capital,6,3,A Venture Capital company focused on re-intermediate clicks-and-mortar portals,0
"Smith, Jennings and Ramirez Group",Mining,8,1,A Mining company focused on matrix one-to-one paradigms,0
"Dixon, Hansen and Jarvis Inc.",Agriculture,7,3,A Agriculture company focused on seize distributed platforms,0
"Riley, Snow and White Solutions",Consumer Electronics,6,3,A Consumer Electronics company focused on whiteboard leading-edge vortals,0
"Estes, Obrien and Kirk Inc.",Insurance,721,127,A Insurance company focused on engage cross-platform communities,1
Taylor-Jordan Group,Cybersecurity,688,154,A Cybersecurity company focused on aggregate dynamic channels,1
"Clark, Ward and Sherman Solutions",Agriculture,825,28,A Agriculture company focused on extend e-business convergence,1
